GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PMML class model evaluator code coverage,org.jpmml.evaluator.general_regression,GeneralRegressionModelEvaluator.new CacheLoader() {...},0,8,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator.general_regression,GeneralRegressionModelEvaluator.new CacheLoader() {...},0,8,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator.general_regression,GeneralRegressionModelEvaluator.new CacheLoader() {...},0,7,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator.general_regression,GeneralRegressionModelEvaluator.new CacheLoader() {...},0,7,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator.general_regression,GeneralRegressionModelUtil,73,13,20,3,21,4,17,3,1,1
PMML class model evaluator code coverage,org.jpmml.evaluator.general_regression,GeneralRegressionModelEvaluator.Row.FactorHandler,6,42,1,3,1,13,1,5,0,4
PMML class model evaluator code coverage,org.jpmml.evaluator.general_regression,GeneralRegressionModelEvaluator.Row.CovariateHandler,12,46,2,2,2,14,2,4,0,4
PMML class model evaluator code coverage,org.jpmml.evaluator.general_regression,GeneralRegressionModelUtil.new Object() {...},15,99,0,0,0,2,0,1,0,1
PMML class model evaluator code coverage,org.jpmml.evaluator.general_regression,GeneralRegressionModelEvaluator.Row,9,151,3,11,3,35,3,10,0,6
PMML class model evaluator code coverage,org.jpmml.evaluator.general_regression,GeneralRegressionModelEvaluator.Row.ContrastMatrixHandler,13,103,4,4,3,28,4,10,0,10
PMML class model evaluator code coverage,org.jpmml.evaluator,MatrixUtil.new Object() {...},3,23,0,0,0,1,0,1,0,1
PMML class model evaluator code coverage,org.jpmml.evaluator,InputFieldUtil.new Object() {...},18,129,0,0,0,5,0,1,0,1
PMML class model evaluator code coverage,org.jpmml.evaluator,MatrixUtil.new Comparator() {...},0,9,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator,MatrixUtil.new Comparator() {...},0,9,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator,ContinuousValue.ContinuousDouble,5,33,1,3,1,9,1,6,0,5
PMML class model evaluator code coverage,org.jpmml.evaluator,FloatEquivalence,3,23,1,3,1,7,1,3,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator,ExpressionUtil,159,566,34,83,29,151,29,52,1,18
PMML class model evaluator code coverage,org.jpmml.evaluator,CsvUtil,92,49,10,6,17,13,9,3,3,1
PMML class model evaluator code coverage,org.jpmml.evaluator,IntegrationTestBatch,31,66,4,2,5,22,4,6,1,6
PMML class model evaluator code coverage,org.jpmml.evaluator,OutputUtil,264,849,46,103,59,244,47,64,2,18
PMML class model evaluator code coverage,org.jpmml.evaluator,SecondsSinceDate,19,60,4,4,3,15,5,7,1,7
PMML class model evaluator code coverage,org.jpmml.evaluator,JavaEqualityPredicate.Equal,8,0,0,0,3,0,2,0,2,0
PMML class model evaluator code coverage,org.jpmml.evaluator,ValueAggregator,40,237,14,28,10,59,14,18,0,11
PMML class model evaluator code coverage,org.jpmml.evaluator,ReportingValueFactoryFactory,4,35,1,2,1,11,1,6,0,5
PMML class model evaluator code coverage,org.jpmml.evaluator,ComplexFloatVector,120,0,8,0,28,0,14,0,10,0
PMML class model evaluator code coverage,org.jpmml.evaluator,ReportUtil,4,29,3,3,2,6,3,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator,ValueFactoryFactory,4,16,1,2,1,6,1,4,0,3
PMML class model evaluator code coverage,org.jpmml.evaluator,Classification.Type,13,129,0,4,2,25,1,12,1,10
